ID,MATCHID,ROBOTID,SCOUTID,LEAVEHAB,SSHATCHCNT,SSCARGOCNT,TOHATCHCNT,TOCARGOCNT,PLAYEDDEFENSE,RETURNTOHAB
393,44,23,15,1,0,0,1,1,0,1
394,104,23,15,1,0,0,1,1,0,1
395,45,38,15,2,0,0,4,0,0,1
204,1,17,4,0,0,0,0,0,0,0
205,1,41,11,1,0,0,0,0,1,1
206,1,2,18,1,0,0,2,0,0,1
207,1,22,19,1,0,0,1,0,0,0
208,1,37,1,1,1,0,0,4,0,3
209,2,11,16,2,0,0,0,0,0,1
210,2,17,18,1,0,0,2,0,0,1
211,2,47,11,0,0,0,2,0,0,1
396,105,38,15,2,0,0,4,0,0,1
213,2,37,1,1,1,0,1,3,0,3
214,3,2,16,1,0,0,1,0,0,0
215,3,37,18,1,0,0,0,5,0,3
216,3,32,1,2,0,0,0,0,0,2
217,4,2,4,1,0,0,2,0,0,1
218,4,37,18,1,0,0,0,5,0,3
219,4,32,1,2,0,0,3,0,0,1
220,5,14,12,2,0,0,1,0,0,1
221,5,38,1,2,0,0,2,0,0,1
222,5,29,2,0,0,0,0,0,0,0
223,5,45,13,1,0,1,0,0,0,1
224,6,23,18,1,0,0,0,4,0,1
225,6,3,13,2,1,0,5,6,0,3
226,6,25,1,1,0,0,2,2,0,1
227,6,37,19,1,0,0,2,4,0,1
228,6,12,2,0,0,0,0,0,0,0
229,7,20,13,1,0,0,0,0,0,0
230,7,1,2,1,0,0,0,0,0,1
231,7,18,19,2,0,0,0,4,0,0
232,6,48,12,1,0,0,1,0,0,1
233,8,12,19,1,0,0,1,2,0,0
234,8,43,2,0,0,0,0,0,0,0
397,46,44,15,2,0,0,0,0,0,1
236,9,5,2,0,0,0,0,0,0,0
398,106,44,15,2,0,0,0,0,0,1
238,9,3,19,2,1,0,0,5,0,3
399,107,12,15,2,0,0,2,4,0,3
400,108,19,15,1,1,0,0,5,0,3
401,109,25,15,2,0,0,3,1,0,1
242,10,40,2,2,0,0,0,0,0,1
243,10,17,13,1,0,0,2,3,0,1
244,10,32,19,2,0,0,0,0,0,1
245,11,24,13,1,0,0,0,0,0,1
246,11,12,19,1,0,0,1,4,0,1
247,11,3,2,2,1,0,3,4,0,3
402,111,1,15,1,0,0,0,0,2,0
249,12,48,13,1,1,0,0,0,0,0
250,19,19,16,0,0,0,0,1,0,0
251,20,36,16,0,0,0,0,0,0,1
252,21,45,16,1,0,0,0,1,0,1
253,23,13,16,1,0,0,1,0,0,1
254,1,17,11,0,0,0,0,0,0,0
255,3,2,11,1,0,0,1,0,0,0
256,4,2,11,1,0,0,2,0,0,1
257,5,14,11,2,0,0,1,0,0,1
258,12,2,2,0,0,0,0,0,0,0
259,13,25,2,2,0,0,1,3,0,1
260,14,3,2,2,1,0,3,4,0,3
403,112,39,15,2,0,0,0,3,0,1
404,113,15,15,1,0,0,0,0,0,1
405,114,3,15,2,1,0,2,3,0,3
264,15,11,2,2,0,0,2,0,0,0
265,16,15,2,0,0,0,2,3,0,0
266,17,15,2,1,0,0,2,3,0,1
406,115,27,15,1,0,0,1,0,0,1
268,18,24,2,1,0,0,1,2,0,0
407,116,45,15,1,0,1,1,5,0,1
408,117,7,15,1,1,0,0,10,0,2
271,11,24,2,1,0,0,0,0,0,1
409,118,36,15,2,0,0,0,2,0,1
273,61,27,2,1,0,0,0,3,0,1
410,119,28,15,2,0,0,0,0,1,1
275,61,16,16,1,0,0,1,0,0,3
411,1,7,15,2,0,0,0,0,0,1
277,61,24,1,1,0,0,0,3,0,1
412,61,7,15,2,0,0,0,0,0,1
413,2,38,15,2,0,0,5,0,0,1
414,62,38,15,2,0,0,5,0,0,1
415,3,13,15,2,0,0,3,0,0,2
282,62,41,16,1,0,0,0,4,0,1
416,63,13,15,2,0,0,3,0,0,2
284,65,37,16,1,1,0,2,3,0,3
417,4,29,15,1,0,0,0,1,0,1
418,64,29,15,1,0,0,0,1,0,1
287,64,32,16,2,0,0,6,0,0,2
288,67,42,8,1,0,0,0,3,0,1
289,66,26,16,2,0,0,0,0,0,1
290,68,2,8,1,1,0,0,3,0,0
419,5,19,15,2,0,0,2,5,0,1
420,65,19,15,2,0,0,2,5,0,1
293,69,46,8,0,0,0,0,0,1,0
294,63,11,8,1,0,0,0,0,0,1
421,6,36,15,2,0,0,0,1,0,1
296,73,3,16,2,1,0,5,2,0,3
422,66,36,15,2,0,0,0,1,0,1
298,80,40,16,2,0,0,0,0,3,1
299,79,13,16,1,0,0,0,0,0,0
300,78,5,16,1,0,1,0,2,0,1
301,77,29,16,1,0,0,0,5,0,0
423,7,3,15,2,1,0,5,2,0,3
424,67,3,15,2,1,0,5,2,0,3
425,8,25,15,2,0,0,2,1,1,1
305,1,7,19,2,0,0,0,0,0,1
306,2,38,19,2,0,0,5,0,0,1
307,3,13,19,2,0,0,3,0,0,2
308,4,29,19,1,0,0,0,1,0,1
309,1,16,15,1,0,0,1,0,0,3
310,61,16,15,1,0,0,1,0,0,3
311,2,41,15,1,0,0,0,4,0,1
312,62,41,15,1,0,0,0,4,0,1
313,3,11,15,1,0,0,0,0,0,1
314,63,11,15,1,0,0,0,0,0,1
315,4,32,15,2,0,0,6,0,0,2
316,64,32,15,2,0,0,6,0,0,2
317,5,37,15,1,1,0,2,3,0,3
318,65,37,15,1,1,0,2,3,0,3
319,6,26,15,2,0,0,0,0,0,1
320,66,26,15,2,0,0,0,0,0,1
321,7,42,15,1,0,0,0,3,0,1
322,67,42,15,1,0,0,0,3,0,1
323,8,2,15,1,1,0,0,3,0,0
324,68,2,15,1,1,0,0,3,0,0
325,9,46,15,0,0,0,0,0,1,0
326,69,46,15,0,0,0,0,0,1,0
327,10,39,15,2,0,0,0,0,0,1
328,70,39,15,2,0,0,0,0,0,1
329,11,29,15,1,0,0,0,3,0,0
330,71,29,15,1,0,0,0,3,0,0
331,12,42,15,1,0,1,0,1,0,2
332,72,42,15,1,0,1,0,1,0,2
333,13,3,15,2,1,0,5,2,0,3
334,73,3,15,2,1,0,5,2,0,3
335,14,20,15,1,0,0,2,0,0,1
336,74,20,15,1,0,0,2,0,0,1
337,15,13,15,1,0,0,1,0,0,1
338,75,13,15,1,0,0,1,0,0,1
339,16,31,15,0,0,0,2,0,0,0
340,76,31,15,0,0,0,2,0,0,0
341,17,46,15,1,0,0,0,0,1,1
342,77,46,15,1,0,0,0,0,1,1
343,18,44,15,2,0,0,0,0,1,1
344,78,44,15,2,0,0,0,0,1,1
345,19,20,15,2,0,0,3,0,0,1
346,79,20,15,2,0,0,3,0,0,1
347,20,18,15,2,0,1,0,5,0,1
348,80,18,15,2,0,1,0,5,0,1
349,21,43,15,2,0,0,0,3,0,1
350,81,43,15,2,0,0,0,3,0,1
351,22,25,15,2,0,0,1,2,0,2
352,82,25,15,2,0,0,1,2,0,2
353,23,10,15,1,0,0,1,4,2,3
354,83,10,15,1,0,0,1,4,2,3
355,24,31,15,1,0,0,0,0,0,1
356,84,31,15,1,0,0,0,0,0,1
357,25,15,15,1,0,0,0,3,0,1
358,85,15,15,1,0,0,0,3,0,1
359,26,28,15,2,0,0,1,1,0,1
360,86,28,15,2,0,0,1,1,0,1
361,27,9,15,2,0,0,0,2,0,0
362,87,9,15,2,0,0,0,2,0,0
363,28,30,15,1,0,0,0,0,2,1
364,88,30,15,1,0,0,0,0,2,1
365,29,24,15,1,0,0,0,3,0,1
366,89,24,15,1,0,0,0,3,0,1
367,30,40,15,2,0,0,0,0,0,1
368,90,40,15,2,0,0,0,0,0,1
369,31,35,15,2,0,0,3,2,0,2
370,91,35,15,2,0,0,3,2,0,2
371,32,47,15,1,1,0,3,0,0,3
372,92,47,15,1,1,0,3,0,0,3
373,33,5,15,1,0,1,1,2,0,0
374,93,5,15,1,0,1,1,2,0,0
375,34,38,15,1,0,0,0,0,1,1
376,94,38,15,1,0,0,0,0,1,1
377,35,34,15,1,0,0,1,0,0,2
378,95,34,15,1,0,0,1,0,0,2
379,36,23,15,1,0,0,1,0,0,3
380,96,23,15,1,0,0,1,0,0,3
381,37,12,15,2,0,0,0,5,0,3
382,97,12,15,2,0,0,0,5,0,3
383,38,48,15,2,0,0,3,0,0,3
384,98,48,15,2,0,0,3,0,0,3
385,39,16,15,1,0,0,2,3,0,1
386,99,16,15,1,0,0,2,3,0,1
387,41,4,15,2,0,0,0,3,0,1
388,101,4,15,2,0,0,0,3,0,1
389,42,7,15,1,0,0,2,7,0,0
390,102,7,15,1,0,0,2,7,0,0
391,43,25,15,1,0,0,0,4,0,2
392,103,25,15,1,0,0,0,4,0,2
426,68,25,15,2,0,0,2,1,1,1
427,9,18,15,2,0,1,0,4,0,0
428,69,18,15,2,0,1,0,4,0,0
429,10,17,15,1,0,0,2,7,0,1
430,70,17,15,1,0,0,2,7,0,1
431,11,10,15,1,1,0,2,5,0,3
432,71,10,15,1,1,0,2,5,0,3
433,12,35,15,2,0,0,3,4,0,2
434,72,35,15,2,0,0,3,4,0,2
435,13,45,15,1,0,1,2,2,0,0
436,73,45,15,1,0,1,2,2,0,0
437,14,8,15,2,0,0,0,3,0,1
438,74,8,15,2,0,0,0,3,0,1
439,15,28,15,2,0,0,2,2,0,1
440,75,28,15,2,0,0,2,2,0,1
441,16,41,15,1,0,0,0,3,0,1
442,76,41,15,1,0,0,0,3,0,1
443,17,1,15,2,0,0,0,0,0,3
444,77,1,15,2,0,0,0,0,0,3
445,18,19,15,2,1,0,2,2,0,3
446,78,19,15,2,1,0,2,2,0,3
447,19,39,15,2,0,0,0,2,0,0
448,79,39,15,2,0,0,0,2,0,0
449,20,11,15,1,0,0,1,0,0,0
450,80,11,15,1,0,0,1,0,0,0
451,21,48,15,2,0,0,0,0,1,1
452,81,48,15,2,0,0,0,0,1,1
453,22,34,15,1,0,0,0,0,0,0
454,82,34,15,1,0,0,0,0,0,0
455,23,22,15,1,0,0,2,5,0,1
456,83,22,15,1,0,0,2,5,0,1
457,24,12,15,2,0,0,1,5,0,3
458,84,12,15,2,0,0,1,5,0,3
459,25,13,15,2,0,0,3,0,0,2
460,85,13,15,2,0,0,3,0,0,2
461,26,42,15,1,0,0,0,0,0,0
462,86,42,15,1,0,0,0,0,0,0
463,27,6,15,1,1,0,5,2,0,1
464,87,6,15,1,1,0,5,2,0,1
465,28,2,15,1,0,0,2,1,0,0
466,88,2,15,1,0,0,2,1,0,0
467,29,14,15,1,0,0,0,0,0,0
468,89,14,15,1,0,0,0,0,0,0
469,30,26,15,1,0,0,2,1,0,1
470,90,26,15,1,0,0,2,1,0,1
471,31,41,15,1,0,0,0,3,0,1
472,91,41,15,1,0,0,0,3,0,1
473,32,31,15,2,0,0,1,0,0,1
474,92,31,15,2,0,0,1,0,0,1
475,33,2,15,1,1,0,0,0,0,1
476,93,2,15,1,1,0,0,0,0,1
477,34,24,15,1,0,0,1,0,0,1
478,94,24,15,1,0,0,1,0,0,1
479,35,32,15,2,0,0,3,0,0,2
480,95,32,15,2,0,0,3,0,0,2
481,36,21,15,2,0,0,0,0,2,0
482,96,21,15,2,0,0,0,0,2,0
483,37,33,15,1,0,0,6,0,0,1
484,97,33,15,1,0,0,6,0,0,1
485,38,40,15,2,0,0,3,0,0,1
486,98,40,15,2,0,0,3,0,0,1
487,39,11,15,2,0,0,4,0,0,1
488,99,11,15,2,0,0,4,0,0,1
489,40,27,15,1,0,0,0,0,0,1
490,100,27,15,1,0,0,0,0,0,1
491,41,30,15,1,0,0,0,0,3,1
492,101,30,15,1,0,0,0,0,3,1
493,42,18,15,1,0,1,0,2,0,1
494,102,18,15,1,0,1,0,2,0,1
495,43,8,15,2,0,1,0,0,0,0
496,103,8,15,2,0,1,0,0,0,0
497,44,3,15,2,1,0,1,4,0,3
498,104,3,15,2,1,0,1,4,0,3
499,45,36,15,2,1,0,0,3,0,1
500,105,36,15,2,1,0,0,3,0,1
501,46,41,15,1,0,0,0,1,0,1
502,106,41,15,1,0,0,0,1,0,1
503,107,22,15,1,0,0,1,1,0,1
504,108,20,15,2,0,0,1,0,0,1
505,109,18,15,1,0,1,1,2,0,1
506,110,24,15,1,0,0,0,3,0,1
507,111,38,15,2,1,0,1,0,1,1
508,112,10,15,1,0,0,3,3,0,3
509,113,48,15,2,0,0,1,0,0,1
510,114,9,15,2,0,0,0,1,2,1
511,115,35,15,2,1,0,2,3,0,1
512,116,30,15,1,0,0,0,0,3,1
513,117,14,15,1,1,0,4,0,0,0
514,118,40,15,1,0,0,2,0,0,1
515,119,6,15,1,1,0,3,1,0,1
516,23,21,15,2,0,0,0,0,2,1
517,83,21,15,2,0,0,0,0,2,1
518,24,3,15,2,1,0,3,4,0,3
519,84,3,15,2,1,0,3,4,0,3
520,25,7,15,1,1,0,2,6,0,1
521,85,7,15,1,1,0,2,6,0,1
522,26,4,15,2,0,0,0,1,0,1
523,86,4,15,2,0,0,0,1,0,1
524,27,46,15,1,0,0,0,0,2,1
525,87,46,15,1,0,0,0,0,2,1
526,28,16,15,1,0,0,3,1,0,3
527,88,16,15,1,0,0,3,1,0,3
528,29,5,15,1,0,1,1,2,0,1
529,89,5,15,1,0,1,1,2,0,1
530,30,21,15,2,0,0,0,0,1,1
531,90,21,15,2,0,0,0,0,1,1
532,31,11,15,2,0,0,3,0,0,2
533,91,11,15,2,0,0,3,0,0,2
534,32,23,15,1,0,0,2,5,0,1
535,92,23,15,1,0,0,2,5,0,1
536,33,44,15,2,0,0,0,0,0,1
537,93,44,15,2,0,0,0,0,0,1
538,34,39,15,2,0,0,0,2,0,2
539,94,39,15,2,0,0,0,2,0,2
540,35,26,15,1,0,0,2,2,0,1
541,95,26,15,1,0,0,2,2,0,1
542,36,35,15,2,0,0,3,1,0,2
543,96,35,15,2,0,0,3,1,0,2
544,37,47,15,1,0,0,1,0,1,0
545,97,47,15,1,0,0,1,0,1,0
546,38,28,15,2,0,0,0,2,0,1
547,98,28,15,2,0,0,0,2,0,1
548,39,31,15,1,0,0,1,0,0,1
549,99,31,15,1,0,0,1,0,0,1
550,40,42,15,2,0,0,0,0,1,3
551,100,42,15,2,0,0,0,0,1,3
552,41,47,15,1,0,0,1,1,0,3
553,101,47,15,1,0,0,1,1,0,3
554,42,14,15,1,0,0,4,0,0,1
555,102,14,15,1,0,0,4,0,0,1
556,43,15,15,1,0,0,0,0,2,1
557,103,15,15,1,0,0,0,0,2,1
558,44,33,15,1,0,0,3,0,0,0
